ID,Length,Year,LWL,Beam,Draft,Displacement,SailArea,GDP,GDP/Capita,Price
Boat0023,42.00 ,2016.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,209.00 ,18694.00 ,462052.00 
Boat0024,43.00 ,2016.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,0.60 ,17912.00 ,415000.00 
Boat0025,43.00 ,2016.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,1394.00 ,29352.00 ,485155.00 
Boat0026,43.00 ,2016.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,209.00 ,18694.00 ,480291.00 
Boat0027,44.60 ,2016.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,1394.00 ,29352.00 ,363154.00 
Boat0028,42.00 ,2017.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,209.00 ,18694.00 ,452325.00 
Boat0029,43.00 ,2017.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,209.00 ,18694.00 ,449087.00 
Boat0030,44.60 ,2017.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,2001.00 ,33259.00 ,601884.00 
Boat0031,44.60 ,2017.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,2001.00 ,33259.00 ,601275.00 
Boat0032,44.60 ,2017.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,209.00 ,18694.00 ,426790.00 
Boat0033,44.60 ,2017.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,209.00 ,18694.00 ,350908.00 
Boat0034,46.85 ,2017.00 ,44.92 ,24.67 ,4.08 ,37478.00 ,1506.00 ,1394.00 ,29352.00 ,314051.00 
Boat0035,40.00 ,2018.00 ,39.42 ,22.00 ,3.92 ,20944.00 ,861.00 ,2001.00 ,33259.00 ,316163.00 
Boat0036,40.00 ,2018.00 ,39.42 ,22.00 ,3.92 ,20944.00 ,861.00 ,1000.00 ,47682.00 ,449000.00 
Boat0037,41.00 ,2018.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,2001.00 ,33259.00 ,497958.00 
Boat0038,41.00 ,2018.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,2001.00 ,33259.00 ,497146.00 
Boat0039,41.00 ,2018.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,1394.00 ,29352.00 ,424393.00 
Boat0040,41.00 ,2018.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,209.00 ,18694.00 ,406606.00 
Boat0041,41.00 ,2018.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,57.80 ,13647.00 ,387664.00 
Boat0043,43.00 ,2018.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,2001.00 ,33259.00 ,547167.00 
Boat0044,43.00 ,2018.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,2001.00 ,33259.00 ,546613.00 
Boat0045,43.00 ,2018.00 ,40.67 ,23.83 ,4.08 ,26455.00 ,1237.00 ,425.00 ,70665.00 ,549000.00 
Boat0046,41.00 ,2019.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,2001.00 ,33259.00 ,510103.00 
Boat0047,41.00 ,2019.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,2001.00 ,33259.00 ,509271.00 
Boat0048,41.00 ,2019.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,2777.00 ,41344.00 ,484598.00 
Boat0049,41.00 ,2019.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,2777.00 ,41344.00 ,483808.00 
Boat0050,41.00 ,2019.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,57.80 ,13647.00 ,480324.00 
Boat0052,41.00 ,2019.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,57.80 ,13647.00 ,462084.00 
Boat0054,41.00 ,2019.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,57.80 ,13647.00 ,461585.00 
Boat0056,41.00 ,2019.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,57.80 ,13647.00 ,409066.00 
Boat0058,41.00 ,2019.00 ,40.67 ,23.67 ,4.17 ,23810.00 ,1022.00 ,209.00 ,18694.00 ,304103.00 
Boat0059,43.00 ,2019.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,209.00 ,18694.00 ,522319.00 
Boat0060,43.00 ,2019.00 ,41.17 ,23.83 ,4.08 ,26455.00 ,1237.00 ,209.00 ,18694.00 ,521912.00 
Boat0061,44.60 ,2019.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,57.80 ,13647.00 ,583645.00 
Boat0063,44.60 ,2019.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,57.80 ,13647.00 ,583054.00 
Boat0065,44.60 ,2019.00 ,43.67 ,24.25 ,4.08 ,31747.00 ,1506.00 ,57.80 ,13647.00 ,558597.00 
Boat0067,55.50 ,2019.00 ,50.17 ,27.00 ,4.75 ,42549.00 ,2102.00 ,209.00 ,18694.00 ,1246325.00 
Boat0068,55.50 ,2019.00 ,50.17 ,27.00 ,4.75 ,42549.00 ,2102.00 ,2001.00 ,33259.00 ,811143.00 
Boat0069,42.00 ,2005.00 ,40.33 ,22.33 ,3.67 ,22046.00 ,1087.00 ,0.80 ,7189.00 ,330000.00 
Boat0070,38.70 ,2006.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,1394.00 ,29352.00 ,223109.00 
Boat0071,38.70 ,2006.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,2622.00 ,39959.00 ,220542.00 
Boat0072,38.70 ,2006.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,1394.00 ,29352.00 ,220475.00 
Boat0073,38.70 ,2006.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,2622.00 ,39959.00 ,219923.00 
Boat0074,38.70 ,2006.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,1394.00 ,29352.00 ,219766.00 
Boat0075,43.60 ,2006.00 ,42.17 ,22.50 ,3.92 ,29762.00 ,1184.00 ,209.00 ,18694.00 ,267617.00 
Boat0076,38.70 ,2007.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,209.00 ,18694.00 ,202496.00 
Boat0077,38.70 ,2007.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,2622.00 ,39959.00 ,200493.00 
Boat0078,38.70 ,2008.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,209.00 ,18694.00 ,202496.00 
Boat0079,38.70 ,2008.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,209.00 ,18694.00 ,200071.00 
Boat0080,38.70 ,2008.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,209.00 ,18694.00 ,193332.00 
Boat0081,42.00 ,2009.00 ,40.33 ,22.33 ,3.67 ,22046.00 ,1087.00 ,1394.00 ,29352.00 ,364170.00 
Boat0082,42.00 ,2009.00 ,40.33 ,22.33 ,3.67 ,22046.00 ,1087.00 ,1394.00 ,29352.00 ,363802.00 
Boat0083,38.70 ,2011.00 ,37.83 ,19.67 ,3.17 ,19842.00 ,1030.00 ,0.80 ,7189.00 ,210000.00 
Boat0084,47.00 ,2006.00 ,46.25 ,24.25 ,4.67 ,30865.00 ,1442.00 ,83.20 ,4913.00 ,516769.00 
Boat0085,50.00 ,2007.00 ,48.08 ,26.25 ,4.58 ,32188.00 ,1776.00 ,2777.00 ,41344.00 ,703279.00 
Boat0086,50.00 ,2008.00 ,48.08 ,26.25 ,4.58 ,32188.00 ,1776.00 ,2777.00 ,41344.00 ,709342.00 
Boat0087,53.00 ,2008.00 ,48.08 ,26.25 ,4.58 ,32188.00 ,1776.00 ,1394.00 ,29352.00 ,632282.00 
Boat0088,47.00 ,2010.00 ,46.25 ,25.33 ,4.92 ,30865.00 ,1701.00 ,22.70 ,21981.00 ,546813.00 
Boat0089,47.00 ,2010.00 ,46.25 ,25.33 ,4.92 ,30865.00 ,1701.00 ,22.70 ,21981.00 ,545648.00 
Boat0090,48.70 ,2010.00 ,47.50 ,26.17 ,4.08 ,22046.00 ,1292.00 ,614.00 ,78281.00 ,565000.00 
Boat0091,40.00 ,2016.00 ,40.00 ,23.50 ,3.00 ,11000.00 ,950.00 ,1000.00 ,47682.00 ,295000.00 
Boat0092,48.70 ,2018.00 ,48.75 ,25.17 ,4.25 ,20500.00 ,1234.00 ,1000.00 ,47682.00 ,990000.00 
Boat0093,55.00 ,2016.00 ,50.67 ,26.50 ,5.00 ,29100.00 ,1905.00 ,1394.00 ,29352.00 ,845069.00 
Boat0095,55.00 ,2016.00 ,50.67 ,26.50 ,5.00 ,29100.00 ,1905.00 ,248.00 ,23971.00 ,845069.00 
Boat0096,39.00 ,2005.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,1150.00 ,9293.00 ,210000.00 
Boat0097,46.00 ,2005.00 ,44.08 ,24.25 ,4.25 ,28660.00 ,1291.00 ,22.70 ,21981.00 ,254636.00 
Boat0098,46.00 ,2005.00 ,44.08 ,24.25 ,4.25 ,28660.00 ,1291.00 ,1000.00 ,47682.00 ,229000.00 
Boat0099,38.00 ,2006.00 ,37.92 ,20.58 ,3.58 ,16500.00 ,764.00 ,57.80 ,13647.00 ,163694.00 
Boat0101,38.00 ,2006.00 ,37.92 ,20.58 ,3.58 ,16500.00 ,764.00 ,57.80 ,13647.00 ,146864.00 
Boat0103,38.00 ,2006.00 ,37.92 ,20.58 ,3.58 ,16500.00 ,764.00 ,57.80 ,13647.00 ,146719.00 
Boat0105,38.00 ,2006.00 ,37.92 ,20.58 ,3.58 ,16500.00 ,764.00 ,57.80 ,13647.00 ,140188.00 
Boat0107,38.00 ,2006.00 ,37.92 ,20.58 ,3.58 ,16500.00 ,764.00 ,57.80 ,13647.00 ,133138.00 
Boat0109,39.00 ,2006.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,209.00 ,18694.00 ,200642.00 
Boat0110,39.00 ,2006.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,2001.00 ,33259.00 ,188482.00 
Boat0111,39.00 ,2006.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,1870.00 ,63610.00 ,219000.00 
Boat0112,42.65 ,2006.00 ,41.17 ,24.42 ,4.08 ,24250.00 ,1259.00 ,1000.00 ,47682.00 ,275000.00 
Boat0113,46.00 ,2006.00 ,44.08 ,24.25 ,4.25 ,28660.00 ,1291.00 ,22.70 ,21981.00 ,345577.00 
Boat0114,46.00 ,2006.00 ,44.08 ,24.25 ,4.25 ,28660.00 ,1291.00 ,2001.00 ,33259.00 ,242939.00 
Boat0115,46.00 ,2006.00 ,44.08 ,24.25 ,4.25 ,28660.00 ,1291.00 ,2001.00 ,33259.00 ,242510.00 
Boat0116,43.00 ,2007.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,103.00 ,28492.00 ,315000.00 
Boat0117,43.00 ,2007.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,425.00 ,70665.00 ,320000.00 
Boat0118,47.00 ,2007.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,851.00 ,10361.00 ,345919.00 
Boat0119,39.00 ,2008.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,3.20 ,50606.00 ,186733.00 
Boat0120,39.00 ,2008.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,2777.00 ,41344.00 ,194562.00 
Boat0121,39.00 ,2008.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,2777.00 ,41344.00 ,194401.00 
Boat0122,39.00 ,2008.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,209.00 ,18694.00 ,188278.00 
Boat0123,39.00 ,2008.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,209.00 ,18694.00 ,187945.00 
Boat0124,43.00 ,2008.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,0.60 ,17912.00 ,390827.00 
Boat0125,43.00 ,2008.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,83.20 ,4913.00 ,339000.00 
Boat0126,43.00 ,2008.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,22.70 ,21981.00 ,309860.00 
Boat0127,43.00 ,2008.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,22.70 ,21981.00 ,309506.00 
Boat0128,43.00 ,2008.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,2777.00 ,41344.00 ,338636.00 
Boat0129,43.00 ,2008.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,209.00 ,18694.00 ,328300.00 
Boat0131,43.00 ,2008.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,209.00 ,18694.00 ,327968.00 
Boat0132,43.00 ,2008.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,851.00 ,10361.00 ,285231.00 
Boat0133,43.00 ,2008.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,851.00 ,10361.00 ,261424.00 
Boat0134,47.00 ,2008.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,209.00 ,18694.00 ,503706.00 
Boat0135,47.00 ,2008.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,2001.00 ,33259.00 ,418744.00 
Boat0136,47.00 ,2008.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,209.00 ,18694.00 ,376556.00 
Boat0137,47.00 ,2008.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,209.00 ,18694.00 ,376262.00 
Boat0138,47.00 ,2008.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,209.00 ,18694.00 ,346188.00 
Boat0139,47.00 ,2008.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,209.00 ,18694.00 ,345919.00 
Boat0140,47.00 ,2008.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,209.00 ,18694.00 ,333781.00 
Boat0141,39.00 ,2009.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,18.50 ,24191.00 ,205124.00 
Boat0142,40.00 ,2009.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,1.90 ,5005.00 ,194008.00 
Boat0143,43.00 ,2009.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,0.60 ,17912.00 ,329000.00 
Boat0144,43.00 ,2009.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,16.90 ,18499.00 ,327712.00 
Boat0145,43.00 ,2009.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,1000.00 ,47682.00 ,300000.00 
Boat0146,47.00 ,2009.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,22.70 ,21981.00 ,314925.00 
Boat0147,47.00 ,2009.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,57.80 ,13647.00 ,315454.00 
Boat0149,39.00 ,2010.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,22.70 ,21981.00 ,297709.00 
Boat0150,39.00 ,2010.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,22.70 ,21981.00 ,297369.00 
Boat0151,39.00 ,2010.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,248.00 ,23971.00 ,278887.00 
Boat0152,39.00 ,2010.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,2777.00 ,41344.00 ,218882.00 
Boat0153,39.00 ,2010.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,2777.00 ,41344.00 ,205506.00 
Boat0154,39.00 ,2010.00 ,38.67 ,21.08 ,3.67 ,19800.00 ,958.00 ,2777.00 ,41344.00 ,205284.00 
Boat0155,43.00 ,2010.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,1000.00 ,47682.00 ,390000.00 
Boat0156,39.00 ,2011.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,22.70 ,21981.00 ,218725.00 
Boat0157,39.00 ,2011.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,2001.00 ,33259.00 ,346563.00 
Boat0158,39.00 ,2011.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,16.70 ,36774.00 ,302787.00 
Boat0159,39.00 ,2011.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,851.00 ,10361.00 ,267522.00 
Boat0160,39.00 ,2011.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,851.00 ,10361.00 ,266761.00 
Boat0162,39.00 ,2011.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,57.80 ,13647.00 ,194562.00 
Boat0164,39.00 ,2011.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,57.80 ,13647.00 ,169026.00 
Boat0166,43.00 ,2011.00 ,42.42 ,24.25 ,3.92 ,28660.00 ,1119.00 ,851.00 ,10361.00 ,339850.00 
Boat0167,47.00 ,2011.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,66.80 ,16466.00 ,450000.00 
Boat0168,39.00 ,2012.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,83.20 ,4913.00 ,315000.00 
Boat0169,47.00 ,2012.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,66.80 ,16466.00 ,249000.00 
Boat0170,47.00 ,2012.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,2777.00 ,41344.00 ,358056.00 
Boat0171,39.00 ,2013.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,57.80 ,13647.00 ,342763.00 
Boat0173,39.00 ,2013.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,2777.00 ,41344.00 ,328323.00 
Boat0174,39.00 ,2013.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,57.80 ,13647.00 ,265811.00 
Boat0176,47.00 ,2013.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,2777.00 ,41344.00 ,473732.00 
Boat0177,47.00 ,2013.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,2777.00 ,41344.00 ,473362.00 
Boat0179,39.00 ,2014.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,0.80 ,7189.00 ,345000.00 
Boat0180,39.00 ,2014.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,22.70 ,21981.00 ,235251.00 
Boat0181,39.00 ,2014.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,22.70 ,21981.00 ,234982.00 
Boat0182,39.00 ,2014.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,2001.00 ,33259.00 ,267522.00 
Boat0183,47.00 ,2014.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,22.70 ,21981.00 ,563836.00 
Boat0184,47.00 ,2014.00 ,46.42 ,25.25 ,4.08 ,35274.00 ,1367.00 ,1000.00 ,47682.00 ,485000.00 
Boat0185,49.00 ,2014.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,22.70 ,21981.00 ,589724.00 
Boat0186,49.00 ,2014.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,18.50 ,24191.00 ,571486.00 
Boat0187,39.00 ,2015.00 ,40.67 ,22.08 ,3.92 ,23810.00 ,1076.00 ,22.70 ,21981.00 ,267025.00 
Boat0188,43.60 ,2015.00 ,41.08 ,24.58 ,3.96 ,30865.00 ,1367.00 ,912.00 ,53765.00 ,544974.00 
Boat0189,49.00 ,2015.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,22.70 ,21981.00 ,601884.00 
Boat0190,49.00 ,2015.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,22.70 ,21981.00 ,589724.00 
Boat0191,49.00 ,2015.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,22.70 ,21981.00 ,589343.00 
Boat0192,49.00 ,2015.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,2001.00 ,33259.00 ,1055962.00 
Boat0193,49.00 ,2015.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,1394.00 ,29352.00 ,910312.00 
Boat0194,49.00 ,2015.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,2777.00 ,41344.00 ,843556.00 
Boat0195,49.00 ,2015.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,1000.00 ,47682.00 ,765000.00 
Boat0196,39.00 ,2016.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,57.80 ,13647.00 ,363765.00 
Boat0198,39.00 ,2016.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,625.00 ,90199.00 ,395000.00 
Boat0199,43.60 ,2016.00 ,41.08 ,24.58 ,3.96 ,30865.00 ,1367.00 ,3.60 ,35313.00 ,582000.00 
Boat0201,49.00 ,2016.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,0.60 ,17912.00 ,735636.00 
Boat0202,49.00 ,2016.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,18.50 ,24191.00 ,667544.00 
Boat0203,49.00 ,2016.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,22.70 ,21981.00 ,601884.00 
Boat0204,49.00 ,2016.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,22.70 ,21981.00 ,595804.00 
Boat0205,49.00 ,2016.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,1.20 ,40938.00 ,595000.00 
Boat0206,49.00 ,2016.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,1394.00 ,29352.00 ,922450.00 
Boat0207,49.00 ,2016.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,209.00 ,18694.00 ,825350.00 
Boat0208,39.00 ,2017.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,2777.00 ,41344.00 ,497637.00 
Boat0209,39.00 ,2017.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,209.00 ,18694.00 ,473732.00 
Boat0210,39.00 ,2017.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,209.00 ,18694.00 ,473362.00 
Boat0211,39.00 ,2017.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,57.80 ,13647.00 ,363765.00 
Boat0215,39.00 ,2017.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,1000.00 ,47682.00 ,495000.00 
Boat0216,49.00 ,2017.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,3.60 ,35313.00 ,1039617.00 
Boat0218,39.00 ,2018.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,1394.00 ,29352.00 ,457738.00 
Boat0219,39.00 ,2018.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,1394.00 ,29352.00 ,449087.00 
Boat0220,39.00 ,2018.00 ,38.42 ,21.92 ,4.00 ,26234.00 ,968.00 ,209.00 ,18694.00 ,398929.00 
Boat0221,45.70 ,2018.00 ,45.92 ,25.25 ,4.27 ,32850.00 ,1615.00 ,851.00 ,10361.00 ,789553.00 
Boat0222,45.70 ,2018.00 ,45.92 ,25.25 ,4.27 ,32850.00 ,1615.00 ,851.00 ,10361.00 ,788158.00 
Boat0223,45.70 ,2018.00 ,45.92 ,25.25 ,4.27 ,32850.00 ,1615.00 ,209.00 ,18694.00 ,778247.00 
Boat0226,45.70 ,2018.00 ,45.92 ,25.25 ,4.27 ,32850.00 ,1615.00 ,209.00 ,18694.00 ,777300.00 
Boat0227,45.70 ,2018.00 ,45.92 ,25.25 ,4.27 ,32850.00 ,1615.00 ,1000.00 ,47682.00 ,828000.00 
Boat0229,49.00 ,2018.00 ,48.33 ,26.25 ,4.33 ,43210.00 ,1776.00 ,57.80 ,13647.00 ,934587.00 
